10 year GDP Average,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2-Alpha Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Alternative conversion factor,Average % of Forest Cover (10 yrs),"Average Agriculture Contribution to GDP(% of GDP, 10 yrs)",Average Arable Land %(10 yrs),Average rural population (10 yrs),Average,Balance of Payments Manual in use,Country Code (Country),Country Code,Country Name (GDP),Country Name,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Income Group,Indicator Code,Indicator Name,Land area(Sq Km),Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Lending category,Long Name,National accounts base year,National accounts reference year,Number of Records,Other groups,PPP survey year,Region,SNA price valuation,Short Name,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code
19408603085366.6,,33.149518073,33.338655308,33.508930268,33.657766301,33.836914512,34.029680655,34.199976787,34.430247290,34.741355207,34.895988177,35.181818655,35.405682463,35.642704661,35.913819548,36.093288340,36.320100394,36.543679608,36.735661321,36.945993043,37.065759007,37.155569847,37.449635087,37.761306376,38.103688531,38.492732772,38.773846060,39.059435175,39.258389297,39.478686888,39.752749187,39.960892694,35.913742218,36.008946244,36.082044210,36.108101290,36.125916117,36.176557040,36.221518730,36.232428239,XF,36.227005712,36.165974598,36.151803998,36.208216795,36.362883780,36.154886964,36.120705513,36.154107367,36.177459967,36.218648881,36.332772059,36.385202506,36.433194834,36.580258148,36.618699781,,,,33.553718822,8.688776906,11.315549749,2132324490.45038,36.297139750,,IBD,IBD,IBRD only,IBRD only,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),67948473.8,,,,,,,,IBRD only,,,1,,,,,IBRD only,,IBRD only group aggregate.,,,IBRD only,,XF
21017935036465.9,,35.169152873,35.318266676,35.486005170,35.617783373,35.783693104,35.879146608,36.025518814,36.187651392,36.457274845,36.529920739,36.705561378,36.825592116,37.063474089,37.180785294,37.309054856,37.268462542,37.374148193,37.506987445,37.624770701,37.758593365,37.783249339,38.024769837,38.222509344,38.518598191,38.857749717,39.151983236,39.393255315,39.583864232,39.786547714,39.985708452,40.189097024,37.411620931,37.309465072,37.422193993,37.512147564,37.574728004,37.772699446,37.844413800,37.931256332,ZT,37.971265940,37.961725844,37.991444597,37.944788474,38.082363265,38.038591973,38.054460966,38.119818826,38.175431973,37.832509401,37.933724610,37.692099485,37.769559768,37.861484500,37.885706080,,,,31.537859497,9.771623851,10.956840104,3125938204.35947,37.604864386,,IBT,IBT,IDA & IBRD total,IDA & IBRD total,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),95724208.8,,,,,,,,IDA & IBRD total,,,1,,,,,IDA & IBRD total,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,IDA & IBRD total,,ZT
830940574841.856,,46.624134624,46.760227027,47.154783582,47.421512093,47.923274968,47.590735581,47.916182725,47.908360260,48.624178500,48.251458094,48.044314766,47.480733732,48.458855275,47.827965313,47.830174783,45.479361040,44.978391067,44.831876545,44.635406057,45.148959042,44.596325071,45.119891188,44.937680401,45.769804532,46.066798086,46.716068961,47.008126463,46.946700054,47.181593389,47.166064416,47.701492724,48.726470747,48.294466204,48.429449880,48.837052902,49.046177238,50.753369182,50.945038911,51.412501901,XH,51.694637878,51.494967402,51.655262448,49.404627759,49.366618409,49.568451269,49.842420459,49.885266152,49.755937806,49.146177956,49.385767351,49.678904527,49.822506103,49.692621269,49.647708906,,,,28.120685819,23.398152521,13.860729954,327366230.454545,48.084959871,,IDB,IDB,IDA blend,IDA blend,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),6824490,,,,,,,,IDA blend,,,1,,,,,IDA blend,,IDA blend group aggregate.,,,IDA blend,,XH
775973414325.996,,36.250285201,36.311739269,36.403459588,36.454388373,36.486012724,36.491008596,36.527143782,36.585784641,36.622259352,36.644934788,36.686623637,36.780381106,36.791100403,36.787642826,36.837630535,36.899523117,36.922902603,37.006719517,37.009751089,37.058231995,37.112315246,37.146152445,37.200487923,37.224594987,37.462493386,37.676886186,37.800909025,38.050414709,38.202759711,38.296782110,38.386580670,38.571270500,37.936977815,38.170805471,38.363919039,38.523702587,38.706310992,38.823548624,39.032649143,XI,39.149638359,39.368787702,39.498388702,39.836370425,39.975983765,40.384272322,40.487153906,40.662172950,40.883995504,39.381546208,39.395768918,38.025835820,38.177333237,38.162642110,38.163279789,,,,26.110980837,27.297228643,8.846965850,666247483.454546,37.922226915,,IDX,IDX,IDA only,IDA only,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),20952200,,,,,,,,IDA only,,,1,,,,,IDA only,,IDA only group aggregate.,,,IDA only,,XI
1611513545296,,38.702332976,38.781429171,38.944730335,39.046667307,39.189417439,39.114630720,39.219150043,39.262081088,39.459130985,39.388347430,39.371220273,39.309603845,39.548986238,39.397262281,39.435981590,38.927573259,38.827010195,38.856382758,38.812257241,38.970669069,38.881340177,39.030936532,39.029358637,39.244459883,39.496326837,39.813513483,39.977255339,40.153264777,40.325122054,40.393249363,40.588311419,41.070846504,40.486367003,40.696491665,40.942409862,41.114341137,41.672299506,41.807859050,42.080565039,XG,42.233253425,42.349464928,42.486432377,42.188045606,42.284157140,42.641707241,42.786627403,42.928265499,43.064682317,41.781653268,41.851200977,40.890002915,41.039577236,40.996585774,40.986143985,,,,26.604952851,25.297024978,10.079260978,993613713.909091,40.368092270,,IDA,IDA,IDA total,IDA total,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),27776650,,,,,,,,IDA total,,,1,,,,,IDA total,,IDA total group aggregate (includes IDA only and IDA blend).,,,IDA total,,XG
13681598595368.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.107601715,35.113928860,35.228673717,35.226390853,35.212225300,35.513670657,35.522335544,35.527921465,V3,35.541791475,35.415331478,35.396985035,35.036503815,35.082127203,35.100869057,35.042105482,34.995627282,35.050132588,35.051074481,35.167491568,35.216290118,35.238885366,35.430272831,35.530051738,,,,38.880603194,7.517209900,9.174977473,976588371.909091,35.249925549,,LTE,LTE,Late-demographic dividend,Late-demographic dividend,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),44535319.8,,,,,,,,Late-demographic dividend,,,1,,,,,Late-demographic dividend,,"Late-dividend countries are mostly upper-middle-income countries where fertility rates are typically above replacement levels of 2.1 births per woman, but fertility continues to decline.",,,Late-demographic dividend,,V3
4755061877854.4,,27.936698233,28.198003509,28.451235451,28.659336948,28.874408591,29.088978784,29.269901724,29.552468455,30.019668851,30.123870034,30.450263441,30.681080595,30.885070207,31.170740910,31.408613596,31.613810752,31.831740547,31.935590663,32.106594848,32.248113941,32.388685812,32.593488593,32.799545003,32.957893326,33.070509282,33.311476738,33.462303291,33.579592773,33.726016582,34.027233424,34.260603892,34.351311436,34.529577409,34.563510625,34.957831949,35.149256007,35.222247273,35.371724254,35.450157962,T2,35.470611288,35.419837024,35.507234441,35.744242939,36.153486717,36.382102471,36.539407276,36.686466336,36.822423956,36.836141694,36.998763962,37.106099982,37.215283480,37.507959372,37.596893425,,,,47.002749629,5.471600145,8.105646172,125526503.818182,33.301224261,,TLA,TLA,Latin America & the Caribbean (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries),,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),19913632,,,,,,,,Latin America & Caribbean (IDA & IBRD),,,1,,,,,Latin America & Caribbean (IDA & IBRD),,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,,,Latin America & Caribbean (IDA & IBRD),,T2
4547134302692.91,,27.754178797,28.036634541,28.309521718,28.558043035,28.768237794,28.984184152,29.171006509,29.465958906,29.949093130,30.067942057,30.399809256,30.656330522,30.872329167,31.139145794,31.383207339,31.575105633,31.811757619,31.922658826,32.103792236,32.260094441,32.413729998,32.644797709,32.869538665,33.036899618,33.161594196,33.428750550,33.616608096,33.743561482,33.895508161,34.216860225,34.466265066,34.573866949,34.761264368,34.795653677,35.213041689,35.414054702,35.494503828,35.650258030,35.739326007,XJ,35.752302105,35.702769858,35.776067207,36.029493628,36.429178148,36.675909590,36.851230226,37.015195576,37.144984025,37.149255670,37.338073146,37.439091400,37.570924217,37.863678001,37.955248629,,,,48.200403962,5.518679766,8.457085969,124732957.363636,33.426268813,,LAC,LAC,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),19096113,,,,,,,,Latin America & Caribbean (excluding high income),,,1,,,,,Latin America & Caribbean (excluding high income),,Latin America and Caribbean regional aggregate (does not include high-income economies).,,,Latin America & Caribbean (excluding high income),,XJ
4945495539538.09,,27.967917726,28.239506682,28.503024199,28.744619290,28.949195377,29.159202247,29.343799033,29.629737212,30.094642099,30.211478662,30.537225972,30.791127516,31.006116755,31.279095792,31.524312398,31.737562592,31.956039381,32.054939364,32.220114792,32.363966325,32.503288875,32.714004081,32.923423866,33.078814622,33.194495735,33.445428787,33.608940838,33.728518180,33.872608877,34.169504470,34.401330059,34.491954737,34.661904034,34.693278139,35.084923828,35.271683707,35.346897855,35.494021319,35.570474956,ZJ,35.584924458,35.538941510,35.626740352,35.861124567,36.261907083,36.494002471,36.649570421,36.794881378,36.927408527,36.938564018,37.097551091,37.200738960,37.309955696,37.601836256,37.687426593,,,,46.904899714,5.386914538,8.227753876,128751303,33.410086921,,LCN,LCN,Latin America & Caribbean,Latin America & Caribbean,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),20042207.4,,,,,,,,Latin America & Caribbean,,,1,,,,,Latin America & Caribbean,,Latin America and Caribbean regional aggregate (includes all income levels).,,,Latin America & Caribbean,,ZJ
674117407743.989,,36.168265165,36.220606150,36.309625477,36.366030820,36.419610938,36.455446669,36.489745876,36.560872120,36.595914806,36.617921811,36.654302761,36.712442890,36.700101123,36.684372744,36.729561943,36.775362121,36.778137890,36.849366089,36.849613925,36.892440066,36.934968803,36.953487143,37.009924462,37.015505740,37.200322346,37.414631491,37.531689609,37.760868942,37.898447919,37.999545369,38.078387104,38.150765264,37.466201302,37.658765854,37.821561052,38.000471150,38.167877689,38.272907169,38.455833596,XL,38.588570490,38.799623424,38.921804970,39.253497901,39.362428295,39.777662161,39.866651579,40.026191197,40.254402089,38.716933241,38.736221887,37.320417118,37.473208716,37.476104843,37.474773450,,,,27.617974867,28.062708697,8.272151845,602395843.272727,37.586488792,,LDC,LDC,Least developed countries: UN classification,Least developed countries: UN classification,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),20167053,,,,,,,,Least developed countries: UN classification,,,1,,,,,Least developed countries: UN classification,,Least developed countries (UN classification) aggregate.,,,Least developed countries: UN classification,,XL
20311523060403.1,,35.048658483,35.203230160,35.376625521,35.519155814,35.686162686,35.780881379,35.930530294,36.095526058,36.370773619,36.447276275,36.623574415,36.751247800,36.994526417,37.106279370,37.235708132,37.189169148,37.299325377,37.435339031,37.556310152,37.695964273,37.724178578,37.973821516,38.177025417,38.476927288,38.822895137,39.125764003,39.378418725,39.573521015,39.778936795,39.982925895,40.191336905,37.383503219,37.282418214,37.396916452,37.489882035,37.558139009,37.759286793,37.830464301,37.920157522,XO,37.968366929,37.965889331,38.001740438,37.963344606,38.095578883,38.057577028,38.075070511,38.148708109,38.200695355,37.851296933,37.969085062,37.718746482,37.803413700,37.892594829,37.917595963,,,,31.665367458,10.014387029,10.974699320,3119107779.6322,37.570416433,,LMY,LMY,Low & middle income,Low & middle income,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),94670126.8,,,,,,,,Low & middle income,,,1,,,,,Low & middle income,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2015 GNI per capita was $12,475 or less.",,,Low & middle income,,XO
292364852903.651,,34.741248515,34.807981437,34.934721677,34.999362189,35.062134478,35.092324959,35.130063061,35.236850681,35.289908211,35.317931554,35.436974716,35.482185710,35.504903300,35.473979697,35.528698703,35.575407067,35.588859076,35.700510750,35.729283103,35.792955945,35.856180387,35.882381911,35.955814934,35.952496771,36.048872942,36.117149361,36.092756385,36.148776529,36.160554510,36.304610579,36.421090030,36.507646234,35.257521149,35.426956675,35.554765707,35.742660378,35.971284744,36.106791314,36.351558090,XM,36.529701147,36.796777820,36.942291868,37.274143501,37.433018034,38.001298982,38.036621539,38.194268981,38.530801044,38.682898183,38.850456970,39.061981214,39.255634493,39.247980586,39.230595579,,,,28.164909824,32.556992528,8.993189868,397804907.545455,36.339900433,,LIC,LIC,Low income,Low income,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),13382221,,,,,,,,Low income,,,1,,,,,Low income,,"Low income group aggregate. Low-income economies are those in which 2015 GNI per capita was $1,025 or less.",,,Low income,,XM
4292177229581.94,,41.362793509,41.509997510,41.640677886,41.791793103,41.982472135,41.898467635,42.045052577,42.072106587,42.283798281,42.209567158,42.149850294,42.027385583,42.395824788,42.265664378,42.323881110,41.640624697,41.530410156,41.555447757,41.479181259,41.680684860,41.536988663,41.746579900,41.689047419,42.023958236,42.422877927,42.879465597,43.245078405,43.473328056,43.752875335,43.793171146,43.838376936,45.051943197,45.133582136,45.301492666,45.564184633,45.653907325,46.283974479,46.375889377,46.666943921,XN,46.804921420,46.777818142,46.903621577,46.491620975,46.602122183,46.614786447,46.749694866,46.903318992,46.932125531,45.288687464,45.254558313,43.948984698,44.035955064,44.015697832,44.023321543,,,,24.975268888,17.706077882,18.213412734,1716053317.54545,43.733825586,,LMC,LMC,Lower middle income,Lower middle income,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),21754614,,,,,,,,Lower middle income,,,1,,,,,Lower middle income,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2015 GNI per capita was between $1,026 and $4,035.",,,Lower middle income,,XN
1261309091921.11,,23.214161677,23.201658725,23.230021903,23.236157611,23.264752326,23.261510820,23.334560475,23.369753970,23.447897420,23.532292347,23.879828108,24.011340641,24.065052698,24.075356104,23.962597477,23.993970771,23.978342008,23.938286069,24.068988831,23.928329968,23.498666346,23.588472688,23.668515105,23.749046067,23.786837572,23.789268713,23.858174190,23.935970697,23.902490414,23.913303203,24.197075222,24.407030859,24.565173097,24.625257006,24.606734029,24.657609702,24.547914313,24.687149221,24.537793821,T3,24.403328579,24.507983403,24.591105266,24.661653004,24.762732252,22.884653456,22.875730657,22.924744552,22.659143900,22.643310516,22.699096495,22.718482130,22.751415707,22.848268610,22.848608745,,,,2.486131224,9.225385452,5.696462000,135569970.727273,23.746251842,,TMN,TMN,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),8637780,,,,,,,,Middle East & North Africa (IDA & IBRD),,,1,,,,,Middle East & North Africa (IDA & IBRD),,Middle East & North Africa (IDA & IBRD countries) aggregate.,,,Middle East & North Africa (IDA & IBRD),,T3
1269816036661.73,,23.240336049,23.227841804,23.256185229,23.262200977,23.290775777,23.287652216,23.360766684,23.395935669,23.474024697,23.558476535,23.905770259,24.037191201,24.090865971,24.101277889,23.988597792,24.020180612,24.004794110,23.964997443,24.095493490,23.955048277,23.526146641,23.616006127,23.696224176,23.776814740,23.814232861,23.816662309,23.885288422,23.963030748,23.929458094,23.940031976,24.223259301,24.432837340,24.590869441,24.650911506,24.633095556,24.683473046,24.573622677,24.710331168,24.562815105,XQ,24.429369015,24.533603889,24.616783550,24.686935647,24.787944556,22.910803554,22.901181079,22.949674911,22.683877461,22.662171967,22.711970912,22.732685435,22.767039142,22.863708849,22.867176753,,,,2.485460498,9.200557077,5.700232951,136559222.363636,23.771267604,,MNA,MNA,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),8643800,,,,,,,,Middle East & North Africa (excluding high income),,,1,,,,,Middle East & North Africa (excluding high income),,Middle East and North Africa regional aggregate (does not include high-income economies).,,,Middle East & North Africa (excluding high income),,XQ
2744483256435.22,,25.716510141,25.708057319,25.733237831,25.740711906,25.763579014,25.764201853,25.822392860,25.852467112,25.915818789,25.985309885,26.256778941,26.362483706,26.409557596,26.424772729,26.341756823,26.371386294,26.364712990,26.339176479,26.444436733,26.341578868,26.017131707,26.091315718,26.173032554,26.695029100,27.188091978,27.649973618,28.165615399,28.684175638,29.117655695,29.592474648,29.829439238,30.000274050,34.574773353,34.622643104,34.609118565,34.648042545,34.563999989,34.669322340,34.566276027,ZQ,34.476382328,34.558410440,34.631816657,34.693099260,34.768183695,33.324776552,33.311274159,33.349177354,33.136346245,33.097236351,33.131895222,33.147199678,33.169353066,33.238616511,33.273986333,,,,2.041475085,6.152930726,4.713953204,144433489.909091,29.711575315,,MEA,MEA,Middle East & North Africa,Middle East & North Africa,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),11238740,,,,,,,,Middle East & North Africa,,,1,,,,,Middle East & North Africa,,Middle East and North Africa regional aggregate (includes all income levels).,,,Middle East & North Africa,,ZQ
20019197260806.9,,35.117389647,35.291600440,35.475427020,35.635372023,35.825683813,35.934829816,36.109499912,36.287509937,36.612435065,36.699776796,36.888876087,37.034986532,37.327578891,37.471221046,37.617340881,37.549955554,37.681731804,37.823192028,37.964775893,38.121417036,38.141804176,38.441401581,38.673618166,39.041310492,39.443079185,39.798395538,40.112989404,40.339186085,40.587906563,40.805295023,41.034238956,37.527761421,37.615944444,37.721440684,37.808678016,37.857227044,38.053845741,38.114516148,38.178632379,XP,38.205500569,38.158594728,38.176375889,38.076950645,38.204795651,38.066853916,38.081400852,38.141207826,38.146344972,37.714373393,37.823959086,37.497567928,37.564287336,37.669407256,37.701384381,,,,32.241739874,9.717228121,11.301005103,2721302872.08674,37.833275476,,MIC,MIC,Middle income,Middle income,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),81288875.8,,,,,,,,Middle income,,,1,,,,,Middle income,,"Middle income group aggregate. Middle-income economies are those in which 2015 GNI per capita was between $1,026 and $12,475.",,,Middle income,,XP
16970027615439.2,,28.343176723,28.157443465,28.024859033,27.898635367,27.733726631,27.722988387,27.689951853,27.696904318,27.658060366,27.580920333,27.500931378,27.443514649,27.380674011,27.321011017,27.318436030,27.315861043,27.297562200,27.151007094,27.123175320,27.095398334,27.067621348,27.266114487,27.287371826,27.308574378,27.329831716,27.350979481,27.106410512,27.105643495,27.104766903,27.103999886,27.103178082,27.023298701,26.890659482,26.794837096,26.743342837,26.536686441,26.452752825,26.430454534,26.385967527,XU,26.403710009,26.427483693,26.325322588,26.373472513,26.242662477,26.258055116,26.028852706,26.191609314,26.200549532,25.980029582,25.859087615,25.616310089,25.993822700,25.831561681,25.955896558,,,,35.918404256,1.236198241,11.094901977,65828180.7272727,26.954354727,,NAC,NAC,North America,North America,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),18255480,,,,,,,,North America,,,1,,,,,North America,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,North America,,XU
44665277417522.6,,39.459725432,39.417743992,39.434107744,39.420954776,39.425090909,39.444723534,39.492595531,39.421791905,39.540593521,39.511337509,39.434894757,39.455064987,39.487505222,39.463407462,39.429706807,39.457040016,39.168353123,39.046787058,39.146079810,39.183543126,39.164444992,39.064802612,38.901796651,38.983802862,38.999930334,38.949500125,38.865786619,38.891156735,38.777344202,38.697386276,38.589374376,38.583152884,38.367970538,38.543590873,38.262156755,38.203619588,38.045591789,38.095541669,37.763589789,OE,37.817916364,37.800109085,37.366485459,37.104676770,37.072982524,37.211509364,36.744100263,36.482025432,36.253543555,35.855436007,35.431076501,35.577460481,35.638711019,35.281421167,35.611874067,,,,31.208989129,1.623150176,11.526655250,261172420.090909,38.311868795,,OED,OED,OECD members,OECD members,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),34419488,,,,,,,,OECD members,,,1,,,,,OECD members,,OECD members aggregate.,,,OECD members,,OE
329588535725.099,,40.788668313,40.801777156,40.811356695,40.825473910,40.838078566,40.853708340,40.850179037,40.837574380,40.790685058,40.699931532,40.675730591,40.664638493,40.652638860,40.605144515,40.478745020,40.491652188,40.481669300,40.498408284,40.450611427,40.418343506,40.436191700,40.457417941,40.461955617,40.479097950,40.487568279,40.491803444,40.516609408,40.514088477,40.494425213,40.506122334,40.492811817,40.307749417,40.373451726,40.452309968,40.461572525,40.490846167,40.513135742,40.485397604,40.517098333,S4,40.591149255,40.522695493,40.417884957,40.457657199,40.522491868,40.602053908,40.531512135,40.514594069,40.567322172,40.608578922,40.586807505,40.604853979,40.580300073,40.415776173,40.499022755,,,,26.096507493,2.623016064,2.049568930,11430946.7272727,40.564395728,,OSS,OSS,Other small states,Other small states,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),2030709,,,,,,,,Other small states,,,1,,,,,Other small states,,Other small states aggregate.,,,Other small states,,S4
7008653769.6962,,8.133948457,8.165765192,8.261215399,8.261215399,8.405981546,8.421889914,8.310531339,8.294622972,8.358256443,8.461660834,8.469615017,8.628698696,8.708240535,8.803690741,8.994591155,9.280941775,9.503658925,9.678650970,9.845688832,9.949093223,10.203627108,10.426344257,10.626789691,10.839961820,11.110404073,11.291759465,11.519249125,11.858097359,11.765828826,12.048997773,12.677570093,12.895638629,12.895638629,12.880062305,13.098130841,13.129283489,13.113707165,12.989096573,13.001557632,S2,12.973520249,13.015576324,13.046728972,13.109034268,13.109034268,13.218068536,13.314641745,13.305295950,13.344236760,13.375389408,13.429906542,13.429906542,13.445482866,13.437694704,13.437694704,,,,61.743528745,15.780657409,3.709898675,1401544.54545455,11.153739149,,PSS,PSS,Pacific island small states,Pacific island small states,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),64200,,,,,,,,Pacific island small states,,,1,,,,,Pacific island small states,,Pacific island small states aggregate.,,,Pacific island small states,,S2
42514545389493.8,,38.795324975,38.753450713,38.753898440,38.765936524,38.767587244,38.779565727,38.843807973,38.754377009,38.861749625,38.852154947,38.779350330,38.791502870,38.822203436,38.788304658,38.756492802,38.783299377,38.459699820,38.305181559,38.398246822,38.449417056,38.431988502,38.373929353,38.122852376,38.183329496,38.174741537,38.116279070,37.973961964,37.995408031,37.813739067,37.703041686,37.581114375,38.342966864,38.083907599,38.268725577,38.023506893,37.952301200,37.787416223,37.799057409,37.429619385,V4,37.446250221,37.411789330,36.947461475,36.691199284,36.626619285,36.793731301,36.300373645,36.049661965,35.808867658,35.375914767,34.937654924,35.109904593,35.181090897,34.795987505,35.147684472,,,,31.549551638,1.458869013,12.164954239,217895760.272727,37.723030182,,PST,PST,Post-demographic dividend,Post-demographic dividend,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),31482667,,,,,,,,Post-demographic dividend,,,1,,,,,Post-demographic dividend,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,,,Post-demographic dividend,,V4
970155623222.128,,36.549682966,36.629986798,36.822034990,36.926092260,37.071006818,36.967399033,37.087687595,37.159001228,37.475388828,37.356162686,37.362097183,37.188255127,37.462231675,37.252483691,37.270518674,37.326382616,37.117926889,37.119272407,37.096049752,37.254771122,37.151863860,37.248890707,37.339040459,37.570071000,37.925836107,38.402648061,38.534010551,38.791851798,38.956603086,39.068281136,39.293580765,39.459876907,39.888413159,40.144070609,40.397050498,40.540696665,40.686425378,40.832352429,41.064407678,V1,41.169824230,41.293860735,41.482359016,41.812620741,41.856059699,42.322961307,42.377782376,42.510301294,42.665483780,40.916098793,40.969971591,39.615579083,39.816234399,39.794152210,39.790480102,,,,26.789137395,27.318947084,8.789568627,471539786.545455,38.966373566,,PRE,PRE,Pre-demographic dividend,Pre-demographic dividend,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),20167611,,,,,,,,Pre-demographic dividend,,,1,,,,,Pre-demographic dividend,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",,,Pre-demographic dividend,,V1
398239412915.966,,34.126257520,34.138905140,34.150328797,34.162568430,34.167505081,34.186272518,34.180152702,34.170360996,34.135682037,34.062040249,34.046332721,34.040620892,34.038662551,34.003453208,33.903762819,33.955003154,33.988537831,34.043694624,34.043245863,34.020751465,34.041436022,34.057469614,34.061059833,34.082560348,34.098512344,34.109201405,34.139922255,34.147796258,34.132374636,34.152732809,34.149974474,34.115503352,34.182481219,34.226753073,34.236480031,34.259189664,34.272694862,34.242348361,34.270363607,S1,34.317390635,34.259913157,34.168833460,34.204669644,34.248089908,34.295802802,34.274593076,34.258266266,34.296529090,34.337845255,34.320004000,34.334676798,34.313617558,34.184565066,34.254194104,,,,36.598892098,3.081924905,2.055868063,16837417.8181818,34.159481178,,SST,SST,Small states,Small states,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),2499759,,,,,,,,Small states,,,1,,,,,Small states,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",,,Small states,,S1
1923251360572.14,,55.128285863,55.480390214,55.507169393,55.752157031,56.069741349,56.202591178,56.308661830,56.371425529,55.950281108,56.077691417,55.956348266,56.078528267,56.463060530,56.447369605,56.601977517,56.536075633,56.576244400,56.900941937,56.861819231,57.026678547,56.866212690,57.353593734,56.852446519,57.312211535,57.203337439,56.857216560,57.180993562,56.873995389,57.069943657,56.903745382,56.949060773,56.754744360,56.804160313,56.835892569,56.818335146,56.767883744,56.973041604,57.002834749,57.025504357,T5,56.976594612,56.935930580,56.920008548,56.874127954,56.747905357,56.716259635,56.677488386,56.571653355,56.482227993,56.517792755,56.425768671,56.591164724,56.600469824,56.647624045,56.638612350,,,,17.265803128,18.955294157,43.297758791,1122375624.27273,56.611596698,,TSA,TSA,South Asia (IDA & IBRD),South Asia (IDA & IBRD),,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),4771577,,,,,,,,South Asia (IDA & IBRD),,,1,,,,,South Asia (IDA & IBRD),,South Asia (IDA & IBRD countries) aggregate.,,,South Asia (IDA & IBRD),,T5
1923251360572.14,,55.128285863,55.480390214,55.507169393,55.752157031,56.069741349,56.202591178,56.308661830,56.371425529,55.950281108,56.077691417,55.956348266,56.078528267,56.463060530,56.447369605,56.601977517,56.536075633,56.576244400,56.900941937,56.861819231,57.026678547,56.866212690,57.353593734,56.852446519,57.312211535,57.203337439,56.857216560,57.180993562,56.873995389,57.069943657,56.903745382,56.949060773,56.754744360,56.804160313,56.835892569,56.818335146,56.767883744,56.973041604,57.002834749,57.025504357,8S,56.976594612,56.935930580,56.920008548,56.874127954,56.747905357,56.716259635,56.677488386,56.571653355,56.482227993,56.517792755,56.425768671,56.591164724,56.600469824,56.647624045,56.638612350,,,,17.265803128,18.955294157,43.297758791,1122375624.27273,56.611596698,,SAS,SAS,South Asia,South Asia,,,,,,AG.LND.AGRI.ZS,Agricultural land (% of land area),4771577,,,,,,,,South Asia,,,1,,,,,South Asia,,South Asia regional aggregate. There are no economies in South Asia classified as high income.,,,South Asia,,8S
